year,cpi,yoy_change,capped_change,cum_factor_to_asmt
1966,33.0,,,2.9791446367966348
1967,33.475,0.014393939393939403,0.014393939393939403,2.9368714866105705
1968,34.7,0.036594473487677304,0.02,2.8792857711868347
1969,36.45,0.050432276657060404,0.02,2.8228291874380735
1970,38.3,0.0507544581618653,0.02,2.7674795955275227
1971,39.575,0.03328981723237612,0.02,2.713215289732865
1972,40.825,0.031585596967782736,0.02,2.660014989934182
1973,43.4,0.06307409675443965,0.02,2.6078578332688056
1974,48.175,0.11002304147465436,0.02,2.5567233659498108
1975,52.975,0.0996367410482617,0.02,2.5065915352449126
1976,56.05,0.05804624823029725,0.02,2.4574426816126596
1977,60.3,0.07582515611061558,0.02,2.4092575309928033
1978,65.25,0.0820895522388061,0.02,2.3620171872478455
1979,73.0,0.11877394636015315,0.02,2.3157031247527895
1980,83.68333333333334,0.14634703196347032,0.02,2.2702971811301853
1981,92.21666666666665,0.1019717187811191,0.02,2.2257815501276337
1982,97.51666666666667,0.05747334176757657,0.02,2.1821387746349346
1983,99.16666666666667,0.01692018458383182,0.01692018458383182,2.145830919393109
1984,103.76666666666667,0.04638655462184871,0.02,2.1037558033265773
1985,108.13333333333333,0.04208159331834227,0.02,2.0625056895358607
1986,110.53333333333335,0.022194821208384896,0.02,2.022064401505746
1987,114.33333333333333,0.03437876960192998,0.02,1.9824160799075938
1988,118.95833333333333,0.04045189504373181,0.02,1.943545176379994
1989,124.60000000000001,0.04742556917688279,0.02,1.9054364474313668
1990,131.45000000000002,0.05497592295345122,0.02,1.8680749484621246
1991,137.28333333333333,0.04437682261950027,0.02,1.8314460279040432
1992,142.025,0.03453927400752699,0.02,1.7955353214745515
1993,146.16666666666666,0.029161532594026873,0.02,1.760328746543678
1994,149.625,0.023660205245153998,0.02,1.7258124966114499
1995,153.50833333333333,0.025953773322194396,0.02,1.6919730358935774
1996,157.6,0.026654361869605347,0.02,1.6587970940133117
1997,161.4,0.02411167512690371,0.02,1.6262716607973646
1998,164.40833333333333,0.018638992152003153,0.018638992152003153,1.5965142443267952
1999,168.85833333333332,0.027066754523797476,0.02,1.5652100434576426
2000,174.8083333333333,0.03523663820757039,0.02,1.5345196504486696
2001,181.1833333333333,0.03646851313343191,0.02,1.504431029851637
2002,184.73333333333335,0.01959341366939582,0.01959341366939582,1.4755205454273854
2003,188.5666666666667,0.02075063154096002,0.02,1.4465887700268487
2004,192.95000000000002,0.023245536503446962,0.02,1.4182242843400474
2005,198.88333333333333,0.030750626241685897,0.02,1.390415965039262
2006,205.70000000000002,0.03427470041062608,0.02,1.3631529069012376
2007,212.23033333333333,0.031746880570409974,0.02,1.336424418530625
2008,219.6459166666667,0.0349412038178647,0.02,1.3102200181672794
2009,218.82174999999998,-0.003752251255904171,0.0,1.3102200181672794
2010,221.20341666666664,0.010884049079521008,0.010884049079521008,1.2961130600095274
2011,227.48524999999998,0.028398446226531426,0.02,1.2706990784407133
2012,232.37558333333334,0.02149736448114048,0.02,1.2457834102359935
2013,235.82383333333334,0.014839123588357594,0.014839123588357594,1.2275673860809022
2014,240.21516666666665,0.01862124481339511,0.01862124481339511,1.2051264317639325
2015,243.01458333333335,0.011653788166303913,0.011653788166303913,1.1912439273798514
2016,247.70541666666668,0.019302682452184694,0.019302682452184694,1.1686851686822008
2017,254.73833333333334,0.028392260295747818,0.02,1.1457697732178442
2018,263.2633333333333,0.03346571318280844,0.02,1.1233036992331806
2019,270.3499166666667,0.02691823142860761,0.02,1.1012781365031183
2020,275.05691666666667,0.017410769191408937,0.017410769191408937,1.08243216
2021,287.4935,0.045214581345739635,0.02,1.061208
2022,310.5088333333333,0.08005514327570307,0.02,1.0404
2023,323.83425,0.04291477483463968,0.02,1.02
2024,332.94491666666664,0.028133734052734116,0.02,1.0
2025,341.8500909090909,0.02674668930698787,0.02,1.0
2026,345.152,0.009658938753323687,0.009658938753323687,1.0
